year,XN
1750,0.0
1751,-0.001697318399177243
1752,-0.00490159882779006
1753,-0.007848715982196573
1754,-0.011313100285516575
1755,-0.09752943405554661
1756,-0.08132408278850058
1757,-0.06832939276020332
1758,-0.05882038332516804
1759,-0.058129539698856744
1760,-0.06630667055675027
1761,-0.1887619490509923
1762,-0.18295422754463225
1763,-0.1547230829521147
1764,-0.12496802691936161
1765,-0.10422771214882998
1766,-0.08744168469419575
1767,-0.07319571674741333
1768,-0.05589246786377715
1769,-0.03852815833987441
1770,-0.02140449031433085
1771,-0.01144550897187631
1772,-0.012790952179172872
1773,-0.012009045273926438
1774,-0.011580538829931264
1775,-0.015224864318756132
1776,-0.01868242516688748
1777,-0.020232037479457066
1778,-0.023152234814181886
1779,-0.03208334474457968
1780,-0.03674530517544253
1781,-0.03708058778827588
1782,-0.033341270538746796
1783,-1.0085419430064737
1784,-0.8437788790474472
1785,-0.6692035800355094
1786,-0.5229592985118353
1787,-0.4065925491829111
1788,-0.330338340834046
1789,-0.26932006237767897
1790,-0.2218892512025372
1791,-0.18448127616940904
1792,-0.15495437579176374
1793,-0.1340469054026444
1794,-0.13715084114643675
1795,-0.11538648581786183
1796,-0.19608200778016946
1797,-0.17089718241997714
1798,-0.1450789955717249
1799,-0.12403316471461921
1800,-0.1086105637695836
1801,-0.11164501724376313
1802,-0.09934596894607937
1803,-0.08816265081458324
1804,-0.10765035807966648
1805,-0.10330034457543583
1806,-0.09203492214375054
1807,-0.08430647784409
1808,-0.07911089980873903
1809,-0.9357245671303513
1810,-1.0090831366853317
1811,-0.8917735470039984
1812,-0.7387853093781714
1813,-0.5985237711848775
1814,-0.47824948600890504
1815,-1.8273742595258504
1816,-1.9801671766784885
1817,-1.8356053167253785
1818,-1.5430592794851947
1819,-1.250979176113932
1820,-0.993479415267601
1821,-0.7936663683555036
1822,-0.6415088879252138
1823,-0.5254442537718413
1824,-0.43532209167545494
1825,-0.3650295247411402
1826,-0.3097251251360454
1827,-0.263618324900429
1828,-0.22649413371746185
1829,-0.1972737447211399
1830,-0.17341169346123053
1831,-0.3451295298874522
1832,-0.44003710567283333
1833,-0.4371161146957034
1834,-0.3881690410484509
1835,-0.9341766689786026
1836,-0.9127084108969903
1837,-0.7788512385117453
1838,-0.6373655716938393
1839,-0.5177793082117369
1840,-0.42416663261593984
1841,-0.35091419641012905
1842,-0.2952245829070057
1843,-0.2594330439739309
1844,-0.22834450347090482
1845,-0.20318165060532226
1846,-0.19164043638691067
1847,-0.18097746626973207
1848,-0.16509519347146367
1849,-0.14458443993192038
1850,-0.14324319740007926
1851,-0.1398843689444363
1852,-0.13027863511355708
1853,-0.12390748489794746
1854,-0.11821674081717269
1855,-0.12196571493246379
1856,-0.24049838016139918
1857,-0.39586054381989705
1858,-0.4164631729163944
1859,-0.3753189009250779
1860,-0.321344369986579
1861,-0.27346481306277765
1862,-0.2739270206347145
1863,-0.26281043005155386
1864,-0.24166578493189916
1865,-0.21636785018234808
1866,-0.1942307649764898
1867,-0.17605355036853843
1868,-0.16227424434515245
1869,-0.1505649957486235
1870,-0.14426513487971418
1871,-0.13268651410353985
1872,-0.12524695629522198
1873,-0.12522170359151955
1874,-0.12373700481003538
1875,-0.12125567278876423
1876,-0.1363735762096363
1877,-0.1451673107287893
1878,-0.14657904705379285
1879,-0.1448704008369919
1880,-0.1398177041502797
1881,-0.13186117067978154
1882,-0.12722634226214835
1883,-0.2674883125288608
1884,-0.6658417333104926
1885,-0.7244768893709798
1886,-0.6888625285168533
1887,-0.6682672013789573
1888,-0.6075945054449186
1889,-0.5842942998258541
1890,-0.5980631201894253
1891,-0.5784866103573288
1892,-0.53624241504592
1893,-0.4602993963325636
1894,-0.3825137192960708
1895,-0.3163815571271192
1896,-0.3220342702664787
1897,-0.32617630103180784
1898,-0.3148209291370145
1899,-0.2849148012790929
1900,-0.25400033963366725
1901,-0.22903431012997802
1902,-0.2691623877947532
1903,-0.4592339329250023
