year,EBM
1836,-1.31999666340853
1837,-0.463919574840648
1838,-0.118807856571169
1839,-0.0070812285733425
1840,0.0156746364100461
1841,-0.0013686805020099
1842,-0.0308463794760426
1843,-0.0593581458344884
1844,-0.0772804596663028
1845,-0.0783230631421604
1846,-0.335137882970561
1847,-0.232145128310372
1848,-0.108947994321226
1849,-0.0525131676706844
1850,-0.0243349222285788
1851,-0.0242140327857753
1852,-0.0319530600613626
1853,-0.276527213692486
1854,-0.301483394692772
1855,-0.154724873553222
1856,-0.14155757068733
1857,-0.334171807464299
1858,-0.165145034369424
1859,-0.065068937000167
1860,-0.0226084186874504
1861,-0.107108884679383
1862,-0.969274919572306
1863,-0.552943264614302
1864,-0.226646358419542
1865,-0.101690435206386
1866,-0.0625518991067258
1867,-0.0527152735840752
1868,-0.0380231894468972
1869,-0.0183713589628693
1870,-0.0162026784640466
1871,-0.0049966866643521
1872,-0.0127522105495541
1873,-0.31068400057328
1874,-0.156923245425948
1875,-0.153261479972712
1876,-0.134955777244846
1877,-0.0859516425520103
1878,-0.0703551374888316
1879,-0.0628765899153542
1880,-0.10132642157413
1881,-0.0881019541634898
1882,-0.0354472703544895
1883,-0.591563736997778
1884,-2.14495535042714
1885,-0.990599041410792
1886,-0.396234272349443
1887,-0.339877243444342
1888,-0.135885387555618
1889,-0.0644717028484878
1890,-0.206296642474003
1891,-0.404514042349836
1892,-0.162349795953122
1893,0.0035309506053576
1894,0.0324499358277356
1895,0.0140711814235697
1896,-0.0114097074567677
1897,-0.0277914029771554
1898,-0.0354674019484697
1899,-0.0446281914224229
1900,-0.0499351333918311
1901,-0.0591163326617206
1902,-0.179208423361657
1903,-1.09027558642363
1904,-0.571977378469775
1905,-0.178910528984175
1906,-0.0228939010385327
1907,-0.18230113636976
1908,-0.0918741928940824
1909,-0.0198367923661171
1910,-0.0325532222724996
1911,-0.0508125628131605
1912,-0.568510993454482
1913,-0.66587711397354
1914,-0.27115674695877
1915,-0.0423732112215126
1916,0.026006609048858
1917,0.0485567990382327
1918,0.0520211809139897
1919,0.0190599494385203
1920,-0.0122522257519476
1921,-0.0317593800111096
1922,-0.187524849615179
1923,-0.147967785148204
1924,-0.0465487375131404
1925,-0.0257625084836761
1926,0.0021953873226259
1927,0.0255307886026296
1928,-0.023281574611054
1929,-0.234339148212936
1930,-0.0089603324203373
1931,-0.0214691882986991
1932,-0.227728384268896
1933,-0.0955113645623771
1934,-0.0384097254488344
1935,-0.0121936557267756
1936,0.0450629700487461
1937,0.0479469840855068
1938,0.0370978922675657
1939,0.0337792373761807
1940,0.013935003109289
1941,-0.0022007245144822
1942,-0.0211022908161954
1943,-0.040195563145665
1944,-0.0354401057810417
1945,-0.0005020471460278
1946,0.0161007650755315
1947,0.0611389497501205
1948,0.0762507302984286
1949,0.0607652284625307
1950,0.0266481592108113
1951,-0.0183158734509289
1952,-0.0208039953237377
1953,-0.0343417580676762
1954,-0.0346703381776545
1955,-0.0078583388126268
1956,0.0517884067423627
1957,0.10723406093683
1958,0.114141827429054
1959,0.0819657430385824
1960,0.059753963072848
1961,0.0070162599993657
1962,-0.233613940677156
1963,-1.04229034852806
1964,-0.971806898189487
1965,-0.612845456968122
1966,-0.0944974117658537
1967,-0.306654838994335
1968,-0.195916969289396
1969,-0.099532020907505
1970,-0.0923958586780406
1971,-0.260648704682316
1972,-0.16107322096551
1973,-0.0483188136115336
1974,-0.123826536867885
1975,-0.507742108900305
1976,-0.215350207800464
1977,-0.0740531081925281
1978,0.0026291418450598
1979,0.0368341059023453
1980,-0.022634158675521
1981,-0.0643143218090518
1982,-0.381694305307439
1983,-0.965218020270061
1984,-0.527291136604491
1985,-0.287430917585553
1986,-0.271634237446902
1987,-0.182109258481915
1988,-0.0741557884848122
1989,0.0316613297937934
1990,0.0177269217286582
1991,-0.59268557483423
1992,-1.9595965423818
1993,-1.14155313573247
1994,-0.363527901095439
1995,-0.162923170827175
1996,-0.0942023437788933
1997,-0.0479326475922519
1998,0.00498519631063
1999,0.0426048988819082
2000,0.0696494508546198
2001,0.0536766693896418
2002,0.0672049726274943
2003,-0.0105915543253233
2004,-0.0276645786259125
2005,-0.0853252062923588
2006,-0.126111305175914
2007,-0.141936923679518
2008,-0.128223913744887
2009,-0.164076890777603
2010,-0.0997736062996304
2011,-0.104268095516739
2012,-0.050004340445033
2013,-0.0153662208614033
2014,-0.0303083642619811
2015,0.0052284249442088
2016,-0.0315560943389039
2017,-0.0414354493333894
2018,-0.0454364226183953
2019,-0.0461417400680885
2020,-0.0409375024299597
